fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD003,bilstm,asym,50,0.0005,"hid64,layers1,p0.2",7,11.614,14.063,600.6,22.0
FD003,bilstm,asym,30,0.0005,"hid64,layers1,p0.3",7,11.878,15.397,771.4,22.8
FD003,bilstm,mse,50,0.0005,"hid64,layers2,p0.2",7,10.772,15.337,874.4,28.1
FD003,bilstm,mse,30,0.0005,"hid64,layers2,p0.3",7,11.807,14.464,1079.3,21.9
FD003,bilstm,asym,50,0.0005,"hid64,layers2,p0.3",7,10.647,14.285,1005.0,34.1
FD003,bilstm,asym,30,0.0005,"hid96,layers1,p0.2",7,11.206,12.601,392.7,26.1
FD003,bilstm,mse,50,0.0005,"hid96,layers1,p0.3",7,10.931,13.26,311.6,26.3
FD003,bilstm,mse,30,0.0005,"hid96,layers2,p0.2",7,11.761,14.516,706.7,27.3
FD003,bilstm,asym,50,0.0005,"hid96,layers2,p0.2",7,10.027,13.517,782.6,35.4
FD003,bilstm,asym,30,0.0005,"hid96,layers2,p0.3",7,11.395,14.776,817.3,23.3
FD003,bilstm,mse,50,0.0005,"hid128,layers1,p0.2",7,10.633,13.868,343.6,34.3
FD003,bilstm,mse,30,0.0005,"hid128,layers1,p0.3",7,11.831,14.708,565.3,39.3
FD003,bilstm,asym,50,0.0005,"hid128,layers1,p0.3",7,11.046,12.518,258.8,60.6
FD003,bilstm,asym,30,0.0005,"hid128,layers2,p0.2",7,11.045,13.423,304.1,45.5
FD003,bilstm,mse,50,0.0005,"hid128,layers2,p0.3",7,10.644,14.214,601.4,60.1
FD003,cnnlstm,mse,30,0.0005,"ch32,hid64,p0.2",7,12.181,13.954,825.3,22.4
FD003,cnnlstm,asym,50,0.0005,"ch32,hid64,p0.2",7,11.408,13.99,866.2,23.1
FD003,cnnlstm,asym,30,0.0005,"ch32,hid64,p0.3",7,11.836,13.07,394.6,30.2
FD003,cnnlstm,mse,50,0.0005,"ch32,hid96,p0.2",7,10.783,14.47,1034.1,24.9
FD003,cnnlstm,mse,30,0.0005,"ch32,hid96,p0.3",7,11.698,14.285,650.3,26.0
FD003,cnnlstm,asym,50,0.0005,"ch32,hid96,p0.3",7,10.958,14.727,745.3,23.9
FD003,cnnlstm,asym,30,0.0005,"ch32,hid128,p0.2",7,11.428,13.092,489.2,27.7
FD003,cnnlstm,mse,50,0.0005,"ch32,hid128,p0.3",7,10.647,14.627,1062.1,23.0
FD003,cnnlstm,mse,30,0.0005,"ch64,hid64,p0.2",7,12.252,14.807,1022.3,20.2
FD003,cnnlstm,asym,50,0.0005,"ch64,hid64,p0.2",7,11.564,14.237,399.6,25.0
FD003,cnnlstm,asym,30,0.0005,"ch64,hid64,p0.3",7,12.126,14.542,935.8,17.8
FD003,cnnlstm,mse,50,0.0005,"ch64,hid96,p0.2",7,10.801,13.466,1067.7,19.9
FD003,cnnlstm,mse,30,0.0005,"ch64,hid96,p0.3",7,11.666,12.368,576.8,22.0
FD003,cnnlstm,asym,50,0.0005,"ch64,hid96,p0.3",7,10.62,12.828,729.7,14.1
FD003,cnnlstm,asym,30,0.0005,"ch64,hid128,p0.2",7,11.395,14.083,349.2,19.0
FD003,cnnlstm,mse,50,0.0005,"ch64,hid128,p0.3",7,11.243,13.714,618.3,23.4
FD003,tcn,mse,30,0.0005,"ch32,levels3,p0.1",7,13.12,14.738,573.1,30.1
FD003,tcn,asym,50,0.0005,"ch32,levels3,p0.1",7,13.229,14.931,608.9,21.1
FD003,tcn,asym,30,0.0005,"ch32,levels3,p0.2",7,13.83,15.665,615.8,28.9
FD003,tcn,mse,50,0.0005,"ch32,levels4,p0.1",7,12.416,15.225,864.5,26.3
FD003,tcn,mse,30,0.0005,"ch32,levels4,p0.2",7,13.41,15.226,700.8,32.1
FD003,tcn,asym,50,0.0005,"ch32,levels4,p0.2",7,10.864,13.832,494.5,30.3
FD003,tcn,asym,30,0.0005,"ch32,levels5,p0.1",7,12.546,14.389,660.9,22.6
FD003,tcn,mse,50,0.0005,"ch32,levels5,p0.2",7,11.631,14.422,538.6,28.3
FD003,tcn,mse,30,0.0005,"ch32,levels6,p0.1",7,13.225,15.603,834.4,32.1
FD003,tcn,asym,50,0.0005,"ch32,levels6,p0.1",7,11.381,14.34,572.1,22.9
FD003,tcn,asym,30,0.0005,"ch32,levels6,p0.2",7,13.03,14.972,647.2,29.1
FD003,tcn,mse,50,0.0005,"ch64,levels3,p0.1",7,12.071,15.09,558.0,20.1
FD003,tcn,mse,30,0.0005,"ch64,levels3,p0.2",7,13.443,15.495,601.6,22.3
FD003,tcn,asym,50,0.0005,"ch64,levels3,p0.2",7,12.819,14.807,619.1,24.3
